list_attributes,attribute_id
BP-BACC-CA-FD-WA-,ATR1
BP-BACC-BAO-CA-FD-,ATR2
BP-BACC-FD-WA-,ATR3
BACC-FD,ATR4
BACC-CA-FD-WA-,ATR5
BP-BACC-FD,ATR6
BP-BACC-CA-FD,ATR7
FD,ATR8
BP-BACC-CA-FD-WA,ATR9
BACC-BAO-CA-FD-WA,ATR10
BACC-CA-FD,ATR11
BACC-CA-FD-,ATR12
BACC-BAO-FD-,ATR13
BACC-BAO-CA-FD,ATR14
BACC-FD-WA-,ATR15
BACC-BAO-CA-FD-WA-,ATR16
BP-BACC-BAO-FD,ATR17
BP-BACC-BAO-CA-FD-WA-,ATR18
BACC-FD-,ATR19
BP-BACC-CA-FD-,ATR20
BP-BACC-BAO-CA-FD,ATR21
BP-BACC-BAO-FD-WA,ATR22
BP-BACC-BAO-FD-WA-,ATR23
BP-BACC-FD-WA,ATR24
BACC-CA-FD-WA,ATR25
BACC-FD-WA,ATR26
BP-BACC-BAO-CA-FD-WA,ATR27
BACC-BAO-FD-WA,ATR28
BACC-BAO-FD,ATR29
BP-BACC-FD-,ATR30
BP-CA-FD,ATR31
BAO-CA-FD-WA,ATR32
CA-FD,ATR33
BP-BAO-CA-FD-WA,ATR34
BAO-FD,ATR35
BACC-BAO-FD-WA-,ATR36
BP-FD,ATR37
BACC-BAO-CA-FD-,ATR38
